ID	transcription
AA	pagi
AB	mon
AC	mon
Blake2003:58_afraid	yinmoom
Blake2003:58_and	bah
Blake2003:58_ant,_bulldog	mroin
Blake2003:58_apple?	gnarp
Blake2003:59_arise,_to	kangeea
Blake2003:59_arm	woany
Blake2003:59_autumn	murlite_murade
Blake2003:60_banksia	wroit
Blake2003:60_bark	moondur
Blake2003:61_big	wurung
Blake2003:61_bite,to	ngutthan
Blake2003:63_read,_damper	bam-bei
Blake2003:64_bring,_to	mahn-nay
Blake2003:64_by_and_by	keto
Blake2003:65_camp,_temporary	nur-om
Blake2003:65_camp,_winter	kur-ooder
Blake2003:66_cave	yo-long
Blake2003:66_cheek	karnaw
Blake2003:66_Cherry(tree)	dar-ang
Blake2003:66_child,_crawling	wimbungam
Blake2003:67_cloud(1)	moonmaret
Blake2003:67_cloud(2)	murno
Blake2003:67_club,_sharp-pointed	buamba
Blake2003:67_club,_straight	kunnaak
Blake2003:67_cockatoo,_white(1)	mar
Blake2003:67_cockatoo,_white(2)	mir-an
Blake2003:68_cold(1)	moonmut
Blake2003:68_cold(2)	moon-mun
Blake2003:68_cold(3)	moreton
Blake2003:68_come,_to(1)	ka-kui
Blake2003:68_come,_to(2)	watton
Blake2003:68_corroboree	murapena
Blake2003:69_crayfish	mun-ait-ye
Blake2003:69_Crayfish,_freshwater	konkro
Blake2003:69_crow	waa
Blake2003:69_cry,_to	luun_gg_a
Blake2003:69_cut,_to	to-to-a
Blake2003:69_dance	wir-un-nay
Blake2003:70_dawn	nurranan
Blake2003:70_day	caro
Blake2003:70_devil	wirr
Blake2003:70_die,_dead	noo-an
Blake2003:70_die,_dying	nuckoyne
Blake2003:70_dig,_to	turn-a
Blake2003:71_Dog	gal
Blake2003:71_dog,_native	ganatyum
Blake2003:71_drink,_to	thathia
Blake2003:71_duck,_black	burnee
Blake2003:72_eagle	ngirri
Blake2003:72_ear	wari
Blake2003:72_eat,_to(1)	dira
Blake2003:72_eat,_to(2)	tainy
Blake2003:72_eel	guia
Blake2003:72_egg(1)	koa
Blake2003:72_egg(2)	koo-ler
Blake2003:72_elbow(1)	dirling
Blake2003:72_elbow(2)	wookine
Blake2003:72_empty	wee-ba
Blake2003:73_emu(1)	gul_bur
Blake2003:73_emu(2)	kowwa
Blake2003:73_enough,_no_more	niwanawa
Blake2003:73_exchanging	wootambau
Blake2003:85_leaf	bool-lott
Blake2003:85_leaf,_of_tree	yer-a
Blake2003:86_light_(a_fire),_to	yapp
