grapheme	soundsets
a	a
a-a	a
aa	a
aar	a
ah	a
aah	a
ahr	a
ai	ay
ai	ayi
ait	ac
aity	ac
age	ac
ane	aɲ
ate	ac
ar	a
air	i
are#	i#
are_	iØ
are-	iØ
au	aw
au	awu
au	u
aw	u
ay	aY
b	p
bb	p
c	k
ch	c
ck	k
d	t
dd	t
dh	T
e	E
e#	#
e_	Ø
e-	Ø
ea	i
ea	iya
ee_e	iyi
ee	i
eea	iya
eh	i
ei	i
ei	aY
eir	iya
eir	i
er#	a#
er_	aØ
er-	aØ
er#	Vr#
er_	VrØ
er-	VrØ
ere	iya
g	k
gg	k
ge	ki
ge	ci
ge#	c#
ge_	cØ
ge-	cØ
gee	ki
gee	ci
gi	ki
gi	ci
gn	N
gn	kN
h	+
i	i
ia	iya
ia	ya
ie	i
io	iyu
io	yu
ioo	iyu
ioo	yu
ine	aɲ
ite	ac
iy#	i#
iy_	i+
iy-	i+
j	c
k	k
l	l
le#	Vl#
le_	VlØ
le-	VlØ
ll	l
m	m
mm	m
#mr	#mVr
-mr	ØmVr
_mr	ØmVr
n	n
#n	#N
-n	ØN
_n	ØN
ng	ŋ
ng	ɲ
ng	ŋk
nge	ŋki
nge	ɲci
nge#	ɲc#
nge_	ɲcØ
nge-	ɲcØ
ngee	ŋki
ngee	ɲci
ngi	ŋki
ngi	ɲci
nn	n
ny	ɲ
o	O
oa	uwa
oa	u
oh	uwa
oh	u
oi	uY
oin	uɲ
oit	uc
oo	u
oor	u
or	u
ore	u
ou	aw
ou	u
o#	u#
o_	u+
o-	u+
p	p
pp	p
q	kw
qu	kw
r	r
rd	t
rl	l
rn	n
rr	r
rt	t
t	t
tch	c
t-d	t
th	T
tt	t
tth	T
ty	c
u#	u#
u_	u+
u-	u+
uh	O
u	O
ui	uwi
ui	wi
ur	O
uu	O
w	w
ww	w
#wr	#wVr
-wr	ØwVr
_wr	ØwVr
y	y
y	ay
#y	#y
-y	Øy
_y	Øy
-	+
_	+
#	#
